,Hotel_Address,lat,lng,City,Country,lat_updated,lon_updated
115,128 avenue de Wagram 17th arr 75017 Paris France,48.8848292,2.3035189,Paris,France,48.8534951,2.3483915
116,128 King Henry s Road Camden London NW3 3ST United Kingdom,51.5421476,-0.1703073,London,United Kingdom,51.4893335,-0.144055085
117,129 Bayswater Road London W2 4RJ United Kingdom,51.51046,-0.1875844,London,United Kingdom,51.4893335,-0.144055085
118,13 15 Gower Street Camden London WC1E 6HE United Kingdom,51.520378,-0.1303414,London,United Kingdom,51.4893335,-0.144055085
119,13 Boulevard Du Temple 3rd arr 75003 Paris France,48.8639318,2.3658744,Paris,France,48.8534951,2.3483915
120,13 Rue De La Paix 2nd arr 75002 Paris France,48.8693409,2.3310263,Paris,France,48.8534951,2.3483915
121,13 rue des Beaux Arts 6th arr 75006 Paris France,48.8562272,2.3351758,Paris,France,48.8534951,2.3483915
122,13 Rue Fran ois Ory 92120 Paris France,48.8178079,2.3293636,Paris,France,48.8534951,2.3483915
123,13 rue Geoffroy Marie 9th arr 75009 Paris France,48.8738557,2.3444232,Paris,France,48.8534951,2.3483915
124,13 Rue Jules Cesar 12th arr 75012 Paris France,48.8490691,2.3697484,Paris,France,48.8534951,2.3483915
125,13 rue Saint Sulpice 6th arr 75006 Paris France,48.8513515,2.3375084,Paris,France,48.8534951,2.3483915
126,130 134 Southampton Row Camden London WC1B 5AF United Kingdom,51.5210085,-0.1230966,London,United Kingdom,51.4893335,-0.144055085
127,130 135 Minories City of London London EC3N 1NU United Kingdom,51.5122457,-0.0757326,City of London,United Kingdom,51.5156177,-0.0919983
128,130 Tottenham Court Road Camden London W1T 5AY United Kingdom,51.5241386,-0.1380807,London,United Kingdom,51.4893335,-0.144055085
129,132 Boulevard Haussmann 8th arr 75008 Paris France,48.8753446,2.3167161,Paris,France,48.8534951,2.3483915
130,134 George Street Westminster Borough London W1H 5DN United Kingdom,51.5163841,-0.1635764,London,United Kingdom,51.4893335,-0.144055085
131,14 15 Langham Place Westminster Borough London W1B 2QS United Kingdom,51.517839,-0.1424476,City of Westminster,United Kingdom,51.4973206,-0.137149
132,14 16 Craven Hill Lancaster Gate Westminster Borough London W2 3DU United Kingdom,51.5132069,-0.1807816,London,United Kingdom,51.4893335,-0.144055085
133,14 Henrietta Street Westminster Borough London WC2E 8QH United Kingdom,51.5109079,-0.1238221,London,United Kingdom,51.4893335,-0.144055085
134,14 Rue Beaujon 8th arr 75008 Paris France,48.8751845,2.3013214,Paris,France,48.8534951,2.3483915
135,14 Rue de la Sorbonne 5th arr 75005 Paris France,48.8493499,2.3430569,Paris,France,48.8534951,2.3483915
136,14 rue de la Tremoille 8th arr 75008 Paris France,48.8668589,2.3028215,Paris,France,48.8534951,2.3483915
137,14 Rue du Chevalier de Saint George 1st arr 75001 Paris France,48.8686931,2.325211,Paris,France,48.8534951,2.3483915
138,14 Rue St Simon 7th arr 75007 Paris France,48.8560685,2.3236846,Paris,France,48.8534951,2.3483915
139,14 Rue Stanislas 6th arr 75006 Paris France,48.8438352,2.3280708,Paris,France,48.8534951,2.3483915
140,140 Gloucester Road Kensington and Chelsea London SW7 4QH United Kingdom,51.4938733,-0.1824963,London,United Kingdom,51.4893335,-0.144055085
141,140 Park Lane Westminster Borough London W1K 7AA United Kingdom,51.5131428,-0.1576714,London,United Kingdom,51.4893335,-0.144055085
142,141 rue St Honor 1st arr 75001 Paris France,48.861711,2.340674,Paris,France,48.8534951,2.3483915
143,142 Minories City of London London EC3N 1LS United Kingdom,51.5128032,-0.07586,City of London,United Kingdom,51.5156177,-0.0919983
144,142 To 144 Warwick Way Victoria Westminster Borough London SW1V 4JE United Kingdom,51.4903724,-0.1459218,London,United Kingdom,51.4893335,-0.144055085
145,143 Avenue De Malakoff 16th arr 75016 Paris France,48.875551,2.2835191,Paris,France,48.8534951,2.3483915
146,143 Boulevard Saint Germain 6th arr 75006 Paris France,48.8531641,2.3344097,Paris,France,48.8534951,2.3483915
147,144 Praed St Paddington Westminster Borough London W2 1HU United Kingdom,51.5161139,-0.1749521,London,United Kingdom,51.4893335,-0.144055085
148,146 Praed Street Westminster Borough London W2 1EE United Kingdom,51.515632,-0.175737,London,United Kingdom,51.4893335,-0.144055085
149,147 Cromwell Road Kensington and Chelsea London SW5 0TH United Kingdom,51.4944849,-0.1884174,London,United Kingdom,51.4893335,-0.144055085
150,15 16 Prince Of Wales Terrace Kensington and Chelsea London W8 5PQ United Kingdom,51.5012329,-0.1859937,London,United Kingdom,51.4893335,-0.144055085
